timestamp,device_id,device_type,src_ip,dst_ip,connection_count,bytes_sent,bytes_received,is_anomaly,anomaly_score,severity
2025-12-15 03:23:13,plug_bedroom,smart_plug,192.168.1.229,180.148.154.247,45,220390,623076,True,-0.018346999089095872,LOW
2025-12-15 03:38:13,cam_livingroom,camera,192.168.1.14,92.253.240.146,29,22643,550117,True,-0.005855944570724025,LOW
2025-12-15 07:33:13,cam_livingroom,camera,192.168.1.180,131.122.29.125,33,434046,287552,True,-0.00969235745872854,LOW
2025-12-15 07:53:13,cam_livingroom,camera,192.168.1.40,21.209.12.119,21,471937,699064,True,-0.023607090237286243,LOW
2025-12-15 15:38:13,cam_livingroom,camera,192.168.1.65,155.156.170.250,17,9553,523926,True,-0.00783466761551721,LOW
2025-12-15 17:28:13,cam_livingroom,camera,192.168.1.85,146.31.46.111,31,276648,779771,True,-0.0010796662851441097,LOW
2025-12-15 17:48:13,cam_livingroom,camera,192.168.1.248,196.40.72.143,27,96699,714043,True,-0.007876519529182446,LOW
2025-12-16 04:18:13,cam_livingroom,camera,192.168.1.156,136.75.130.126,26,21459,587274,True,-0.005739001159289825,LOW
2025-12-16 06:53:13,plug_bedroom,smart_plug,192.168.1.21,159.175.154.242,27,524424,231324,True,-0.02201709495052273,LOW
2025-12-16 07:13:13,cam_livingroom,camera,192.168.1.162,22.182.112.143,25,132823,788791,True,-0.005226449034925973,LOW
2025-12-16 09:13:13,cam_livingroom,camera,192.168.1.221,140.63.179.237,33,452833,544629,True,-0.0013206571552513147,LOW
2025-12-16 11:18:13,cam_livingroom,camera,192.168.1.123,110.127.197.216,25,121318,811457,True,-0.015232773982723491,LOW
2025-12-16 11:48:13,cam_livingroom,camera,192.168.1.74,137.61.199.5,27,485747,228285,True,-0.010583897004888931,LOW
2025-12-16 14:53:13,cam_livingroom,camera,192.168.1.247,186.120.164.236,27,457617,217713,True,-0.003265336596503854,LOW
2025-12-16 20:13:13,cam_livingroom,camera,192.168.1.224,190.253.221.215,31,514870,515151,True,-0.014667677075514085,LOW
2025-12-14 23:08:13,cam_livingroom,camera,192.168.1.53,25.78.122.64,30,452378,142906,True,-0.030261926381077164,MEDIUM
2025-12-15 01:18:13,speaker_kitchen,smart_speaker,192.168.1.192,115.66.30.168,49,1550945,1614486,True,-0.18903083929098474,MEDIUM
2025-12-15 04:48:13,thermostat_hall,thermostat,192.168.1.138,117.117.126.235,40,1082892,1215203,True,-0.16454390572075828,MEDIUM
2025-12-15 05:23:13,cam_livingroom,camera,192.168.1.37,181.118.34.77,33,523130,529756,True,-0.02821139011102325,MEDIUM
2025-12-15 05:53:13,speaker_kitchen,smart_speaker,192.168.1.113,90.215.153.247,64,756564,972153,True,-0.1549103423940391,MEDIUM
2025-12-15 12:28:13,cam_livingroom,camera,192.168.1.124,73.82.210.11,35,414269,233431,True,-0.024031226761232705,MEDIUM
2025-12-15 13:18:13,speaker_kitchen,smart_speaker,192.168.1.136,128.244.16.177,135,445445,797840,True,-0.14251967025953616,MEDIUM
2025-12-15 16:13:13,cam_livingroom,camera,192.168.1.84,197.83.63.46,13,504206,486909,True,-0.028866408215088013,MEDIUM
2025-12-15 18:23:13,cam_livingroom,camera,192.168.1.201,38.141.31.195,11,554900,516378,True,-0.04659061429700062,MEDIUM
2025-12-15 18:48:13,cam_livingroom,camera,192.168.1.181,186.66.7.88,17,520552,599917,True,-0.0335717158955976,MEDIUM
2025-12-15 22:03:13,cam_livingroom,camera,192.168.1.173,188.46.203.71,16,433388,762176,True,-0.05021396301655656,MEDIUM
2025-12-16 01:58:13,cam_livingroom,camera,192.168.1.28,23.34.99.64,19,0,599431,True,-0.02578961965973181,MEDIUM
2025-12-16 04:08:13,cam_livingroom,camera,192.168.1.99,138.156.232.145,28,524392,109253,True,-0.04138280041267206,MEDIUM
2025-12-16 04:13:13,plug_bedroom,smart_plug,192.168.1.132,145.188.29.197,36,159579,659690,True,-0.030256623331418764,MEDIUM
2025-12-16 07:38:13,speaker_kitchen,smart_speaker,192.168.1.101,134.244.34.57,80,1112120,1148007,True,-0.18554533505916693,MEDIUM
2025-12-16 07:58:13,thermostat_hall,thermostat,192.168.1.193,155.153.240.210,40,1020144,685041,True,-0.12146101154956612,MEDIUM
2025-12-16 09:58:13,cam_livingroom,camera,192.168.1.121,165.164.119.33,24,440110,766667,True,-0.024961312846599082,MEDIUM
2025-12-16 14:43:13,thermostat_hall,thermostat,192.168.1.59,167.12.203.118,70,332232,1139340,True,-0.09843511954105744,MEDIUM
2025-12-16 15:33:13,cam_livingroom,camera,192.168.1.250,166.15.241.232,20,504013,700552,True,-0.037469136987406726,MEDIUM
